cell,predictions,config,mse,nse
37,"2022-01-01    0.016317
2022-02-01    0.020368
2022-03-01    0.017767
2022-04-01    0.023894
2022-05-01    0.018890
2022-06-01    0.021084
2022-07-01    0.071013
2022-08-01    0.064789
2022-09-01    0.053454
2022-10-01    0.039602
2022-11-01    0.021530
2022-12-01    0.024245
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 2), (1, 1, 2, 12), 'n']",0.001686804,0.278320229
38,"2022-01-01    0.015804
2022-02-01    0.018854
2022-03-01    0.016901
2022-04-01    0.024339
2022-05-01    0.018096
2022-06-01    0.020747
2022-07-01    0.070060
2022-08-01    0.064594
2022-09-01    0.052647
2022-10-01    0.040590
2022-11-01    0.020065
2022-12-01    0.022794
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 0, 2), (1, 1, 2, 12), 'n']",0.001404193,0.335975689
39,"2022-01-01    0.019599
2022-02-01    0.028363
2022-03-01    0.018093
2022-04-01    0.026393
2022-05-01    0.023628
2022-06-01    0.021824
2022-07-01    0.072944
2022-08-01    0.063929
2022-09-01    0.054590
2022-10-01    0.040204
2022-11-01    0.021237
2022-12-01    0.025068
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 0), (0, 1, 1, 12), 'n']",0.000946151,0.516400245
40,"2022-01-01    0.022722
2022-02-01    0.034666
2022-03-01    0.022680
2022-04-01    0.029984
2022-05-01    0.025256
2022-06-01    0.022236
2022-07-01    0.074178
2022-08-01    0.067091
2022-09-01    0.058481
2022-10-01    0.042516
2022-11-01    0.023348
2022-12-01    0.032824
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 1), (1, 1, 2, 12), 'n']",0.000996227,0.546451717
41,"2022-01-01    0.043087
2022-02-01    0.041445
2022-03-01    0.059213
2022-04-01    0.023242
2022-05-01    0.059391
2022-06-01    0.060390
2022-07-01    0.149200
2022-08-01    0.069660
2022-09-01    0.050601
2022-10-01    0.037482
2022-11-01    0.010523
2022-12-01    0.048195
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 0), (0, 1, 0, 12), 't']",0.001708232,0.554497018
42,"2022-01-01    0.030046
2022-02-01    0.023340
2022-03-01    0.052073
2022-04-01    0.008148
2022-05-01    0.048545
2022-06-01    0.051201
2022-07-01    0.120579
2022-08-01    0.056784
2022-09-01    0.050067
2022-10-01    0.044576
2022-11-01    0.001689
2022-12-01    0.045244
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 0), (0, 1, 0, 12), 'c']",0.001403003,0.577330784
43,"2022-01-01    0.024549
2022-02-01    0.022460
2022-03-01    0.013564
2022-04-01    0.007149
2022-05-01    0.017336
2022-06-01    0.135954
2022-07-01    0.237293
2022-08-01    0.224085
2022-09-01    0.196761
2022-10-01    0.080498
2022-11-01    0.045111
2022-12-01    0.026650
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 1), (2, 1, 2, 12), 'n']",0.007374983,0.669602797
44,"2022-01-01    0.024823
2022-02-01    0.021538
2022-03-01    0.012452
2022-04-01    0.008958
2022-05-01    0.019737
2022-06-01    0.136563
2022-07-01    0.223748
2022-08-01    0.228147
2022-09-01    0.197110
2022-10-01    0.077755
2022-11-01    0.035935
2022-12-01    0.024407
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 1), (2, 1, 1, 12), 'n']",0.005330377,0.712865565
45,"2022-01-01    0.028182
2022-02-01    0.020760
2022-03-01    0.016148
2022-04-01    0.008990
2022-05-01    0.017806
2022-06-01    0.131077
2022-07-01    0.214113
2022-08-01    0.241194
2022-09-01    0.199415
2022-10-01    0.070982
2022-11-01    0.032435
2022-12-01    0.025306
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 0), (2, 1, 1, 12), 'n']",0.011540635,0.612273691
46,"2022-01-01    0.026980
2022-02-01    0.023292
2022-03-01    0.020269
2022-04-01    0.017932
2022-05-01    0.023900
2022-06-01    0.114887
2022-07-01    0.216630
2022-08-01    0.232304
2022-09-01    0.183621
2022-10-01    0.070143
2022-11-01    0.036743
2022-12-01    0.031122
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 0), (2, 1, 1, 12), 'c']",0.004765863,0.754114084
47,"2022-01-01    0.034315
2022-02-01    0.019085
2022-03-01    0.018878
2022-04-01    0.017780
2022-05-01    0.021283
2022-06-01    0.109498
2022-07-01    0.196202
2022-08-01    0.207127
2022-09-01    0.155526
2022-10-01    0.063899
2022-11-01    0.030974
2022-12-01    0.026703
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 0), (2, 1, 1, 12), 'n']",0.005546185,0.703243246
48,"2022-01-01    0.027672
2022-02-01    0.018255
2022-03-01    0.018290
2022-04-01    0.015965
2022-05-01    0.019291
2022-06-01    0.089819
2022-07-01    0.187905
2022-08-01    0.200439
2022-09-01    0.153539
2022-10-01    0.052116
2022-11-01    0.031049
2022-12-01    0.026302
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 0), (1, 1, 2, 12), 'c']",0.007417456,0.646284531
49,"2022-01-01    0.022233
2022-02-01    0.023933
2022-03-01    0.020231
2022-04-01    0.020671
2022-05-01    0.022217
2022-06-01    0.090265
2022-07-01    0.190165
2022-08-01    0.198019
2022-09-01    0.147838
2022-10-01    0.053952
2022-11-01    0.032419
2022-12-01    0.030061
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 0), (2, 1, 2, 12), 'c']",0.005596771,0.686625324
50,"2022-01-01    0.025259
2022-02-01    0.013602
2022-03-01    0.016788
2022-04-01    0.015196
2022-05-01    0.018593
2022-06-01    0.070186
2022-07-01    0.169318
2022-08-01    0.181732
2022-09-01    0.140666
2022-10-01    0.047035
2022-11-01    0.027456
2022-12-01    0.018685
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 0), (1, 1, 1, 12), 'c']",0.008503559,0.559971564
51,"2022-01-01    0.050847
2022-02-01    0.038277
2022-03-01    0.026559
2022-04-01    0.035843
2022-05-01    0.035109
2022-06-01    0.149446
2022-07-01    0.178176
2022-08-01    0.197748
2022-09-01    0.080831
2022-10-01    0.080587
2022-11-01    0.043594
2022-12-01    0.041283
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 1), (0, 1, 0, 12), 'ct']",0.00589083,0.630745583
52,"2022-01-01    0.045884
2022-02-01    0.039437
2022-03-01    0.025832
2022-04-01    0.031601
2022-05-01    0.033584
2022-06-01    0.126702
2022-07-01    0.174295
2022-08-01    0.198212
2022-09-01    0.085094
2022-10-01    0.063200
2022-11-01    0.042921
2022-12-01    0.039387
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 0, 12), 'ct']",0.003925222,0.687615763
53,"2022-01-01    0.042374
2022-02-01    0.039955
2022-03-01    0.027102
2022-04-01    0.035185
2022-05-01    0.034200
2022-06-01    0.115273
2022-07-01    0.164834
2022-08-01    0.224943
2022-09-01    0.097297
2022-10-01    0.057140
2022-11-01    0.043270
2022-12-01    0.041791
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 2), (0, 1, 2, 12), 'ct']",0.005157818,0.641733433
54,"2022-01-01    0.030972
2022-02-01    0.033747
2022-03-01    0.018868
2022-04-01    0.026090
2022-05-01    0.028752
2022-06-01    0.104125
2022-07-01    0.191009
2022-08-01    0.235813
2022-09-01    0.088279
2022-10-01    0.067645
2022-11-01    0.029482
2022-12-01    0.034369
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 0, 12), 'ct']",0.001965474,0.809312536
55,"2022-01-01    0.034209
2022-02-01    0.038463
2022-03-01    0.022202
2022-04-01    0.028203
2022-05-01    0.032644
2022-06-01    0.105085
2022-07-01    0.164785
2022-08-01    0.225233
2022-09-01    0.088798
2022-10-01    0.080526
2022-11-01    0.033452
2022-12-01    0.038211
Freq: MS, Name: predicted_mean, dtype: float64","[(1, 1, 2), (0, 1, 0, 12), 'ct']",0.002116392,0.766397334
56,"2022-01-01    0.020813
2022-02-01    0.021194
2022-03-01    0.021837
2022-04-01    0.025788
2022-05-01    0.035348
2022-06-01    0.070261
2022-07-01    0.150163
2022-08-01    0.167844
2022-09-01    0.147045
2022-10-01    0.072474
2022-11-01    0.057225
2022-12-01    0.053723
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 2), (0, 1, 2, 12), 'ct']",0.001767938,0.740626071
57,"2022-01-01    0.040543
2022-02-01    0.048031
2022-03-01    0.028927
2022-04-01    0.032813
2022-05-01    0.045570
2022-06-01    0.102927
2022-07-01    0.145544
2022-08-01    0.186552
2022-09-01    0.093210
2022-10-01    0.056529
2022-11-01    0.042718
2022-12-01    0.058928
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 2, 12), 'ct']",0.005104767,0.577351834
