cell,predictions,config,mse,nse
31,"2022-01-01    1576.333503
2022-02-01    1558.601224
2022-03-01    1529.490684
2022-04-01    1562.992722
2022-05-01    1610.461688
2022-06-01    1625.448285
2022-07-01    1849.312057
2022-08-01    2253.221932
2022-09-01    2209.534651
2022-10-01    1978.246931
2022-11-01    1710.770211
2022-12-01    1707.094970
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 1), (2, 1, 2, 12), 't']",7301.593478,0.877748248
32,"2022-01-01    1754.960252
2022-02-01    1886.004151
2022-03-01    1832.945309
2022-04-01    1827.273251
2022-05-01    1850.430672
2022-06-01    1896.075793
2022-07-01    2218.141736
2022-08-01    2701.304223
2022-09-01    2613.395955
2022-10-01    2287.549831
2022-11-01    1863.912606
2022-12-01    1984.331088
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 0, 1), (2, 1, 2, 12), 't']",10575.50431,0.914702281
33,"2022-01-01    2110.006301
2022-02-01    1879.562852
2022-03-01    1792.553508
2022-04-01    1748.854908
2022-05-01    1714.016470
2022-06-01    1843.217684
2022-07-01    2457.505796
2022-08-01    3021.041283
2022-09-01    2525.731039
2022-10-01    2173.653972
2022-11-01    2059.353105
2022-12-01    1989.812247
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 1), (1, 0, 1, 12), 'n']",6024.264735,0.953862013
34,"2022-01-01    1826.352358
2022-02-01    1502.162441
2022-03-01    1447.223386
2022-04-01    1469.990922
2022-05-01    1599.666889
2022-06-01    1694.696605
2022-07-01    2314.864493
2022-08-01    2710.821644
2022-09-01    2293.086849
2022-10-01    1982.755433
2022-11-01    1956.523271
2022-12-01    1643.222176
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 0), (1, 0, 0, 12), 'n']",7522.524556,0.938660788
35,"2022-01-01    1594.397689
2022-02-01    1515.892320
2022-03-01    1464.876949
2022-04-01    1531.872894
2022-05-01    1708.880155
2022-06-01    1812.398731
2022-07-01    2166.928622
2022-08-01    2355.469829
2022-09-01    2180.522352
2022-10-01    1924.086190
2022-11-01    1756.661344
2022-12-01    1583.747813
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 2), (0, 1, 0, 12), 'ct']",17976.89921,0.879552172
36,"2022-01-01    1788.135325
2022-02-01    1474.331389
2022-03-01    1455.692721
2022-04-01    1537.699309
2022-05-01    1659.971055
2022-06-01    1722.467049
2022-07-01    1921.504762
2022-08-01    2141.882732
2022-09-01    1990.034215
2022-10-01    1807.901098
2022-11-01    1854.609007
2022-12-01    1529.666872
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 1), (2, 0, 2, 12), 't']",65475.43814,0.640635624
37,"2022-01-01    1473.278797
2022-02-01    1340.376260
2022-03-01    1325.622070
2022-04-01    1370.289635
2022-05-01    1460.519852
2022-06-01    1530.981554
2022-07-01    1918.711281
2022-08-01    2177.294576
2022-09-01    1913.046090
2022-10-01    1663.130001
2022-11-01    1656.130404
2022-12-01    1398.589859
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 1), (0, 1, 0, 12), 't']",15366.77775,0.879104762
38,"2022-01-01    1602.318139
2022-02-01    1477.265314
2022-03-01    1475.982332
2022-04-01    1586.371543
2022-05-01    1727.289056
2022-06-01    1726.780284
2022-07-01    1866.168243
2022-08-01    1980.998040
2022-09-01    1975.749489
2022-10-01    1970.043719
2022-11-01    2156.719861
2022-12-01    1810.109736
Freq: MS, Name: predicted_mean, dtype: float64","[(2, 1, 2), (1, 1, 2, 12), 'ct']",83557.11132,0.497058922
39,"2022-01-01    1973.505064
2022-02-01    2028.363752
2022-03-01    2084.769145
2022-04-01    2128.103268
2022-05-01    2326.727061
2022-06-01    2415.162375
2022-07-01    2531.227484
2022-08-01    2610.794079
2022-09-01    2564.856823
2022-10-01    2442.451407
2022-11-01    2335.390418
2022-12-01    2305.691207
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 1, 1), (1, 1, 2, 12), 'ct']",43028.15031,0.639260483
40,"2022-01-01    1890.666014
2022-02-01    1871.683063
2022-03-01    2625.200111
2022-04-01    3807.217159
2022-05-01    4562.734207
2022-06-01    5415.251256
2022-07-01    5942.768304
2022-08-01    6063.285352
2022-09-01    5490.302400
2022-10-01    4803.319448
2022-11-01    3526.336497
2022-12-01    3314.853545
Freq: MS, Name: predicted_mean, dtype: float64","[(0, 0, 0), (0, 1, 0, 12), 'ct']",108312.6624,0.956671227
